INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1
1,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",You'd rather be nuked then?,JEWS,V1
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",POC,V1
8,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Without women there would be no men.,WOMEN,V1
10,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,WOMEN,V1
11,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1
13,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",WOMEN,V1
14,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,V1
15,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,JEWS,V1
17,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,JEWS,V1
18,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this?,JEWS,V1
19,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,JEWS,V1
20,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,JEWS,V1
22,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",We do have to choose. It's ok to accept them both.,other,V1
24,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",LGBT+,V1
